REGIONAL,CADENA,FORMATO,CÓDIGO CLIENTE,PUNTO DE VENTA,FECHA,MARCA,SEGMENTO,PRODUCTO,VALOR,UNIDADES,MOTIVOS DE DEVOLUCIÓN
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-05 00:00:00,ALQUERIA,YOGURES,YOGURT ALQ VASO 150G SABOR COL MELO,2070,0.15,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-05 00:00:00,VITAD,YOGURES,BEB YOG SIN SELLO BOTE 1000 FRESA,12870,1,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-13 00:00:00,ALQUERIA,YOGURES,YOGURT ALQ VASO 150G SABOR COL MELO,8280,0.6,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-13 00:00:00,ALQUERIA,YOGURES,ALQUERIA HOJUELAS 170GR,3210,0.17,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-13 00:00:00,FORTIKIDS,POSTRES LISTOS,KD GELATINA 90GX4 CEREZA,4900,0.36,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-13 00:00:00,FORTIKIDS,POSTRES LISTOS,KD GELATINA 90G SANDIA FRESA,2480,0.18,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-13 00:00:00,FORTIKIDS,POSTRES LISTOS,KD GELATINA 90GX4 SANDIA FRESA,9800,0.72,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-13 00:00:00,FORTIKIDS,YOGURES,KD CUCH 95GX12 FRE-MOR,12060,1.14,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-13 00:00:00,VITAD,YOGURES,BEB YOG SIN SELLO VASO 150G MELO,5040,0.3,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-13 00:00:00,VITAD,YOGURES,BEB YOG SIN SELLO VASO 150G MORA,5040,0.3,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-13 00:00:00,VITAD,YOGURES,BEB YOG SIN SELLO VASO 150G FRESA,2520,0.15,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-13 00:00:00,VITAD,YOGURES,BEB YOG SIN SELLO BOTE 1000 FRESA,25740,2,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-27 00:00:00,ACTIGEST,YOGURES,ACTIGEST VAS 140G PIT CCB TT,4140,0.28,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-27 00:00:00,ALQUERIA,YOGURES,YOGURT ALQUERIA PACKX3 SURTIDO,35940,2.7,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-27 00:00:00,ALQUERIA,YOGURES,ALQUERIA CER 170G FLIPS,3210,0.17,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-27 00:00:00,ALQUERIA,YOGURES,ALQUERIA MILO 170GR,16050,0.85,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-27 00:00:00,FORTIKIDS,POSTRES LISTOS,KD GELATINA 90GX4 CEREZA,19600,1.44,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-27 00:00:00,FORTIKIDS,POSTRES LISTOS,KD GELATINA 90GX4 SANDIA FRESA,4900,0.36,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-27 00:00:00,VITAD,YOGURES,BEB YOG SIN SELLO VASO 150G MELO,10080,0.6,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-08-27 00:00:00,VITAD,YOGURES,BEB YOG SIN SELLO BOTE 1000 MELO,25740,2,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-09-05 00:00:00,ALQUERIA,POSTRES LISTOS,KD GELATINA 90G NARANJA,1240,0.09,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-09-05 00:00:00,ALQUERIA,YOGURES,YOGURT ALQUERIA PACKX3 SURTIDO,29950,2.25,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-09-05 00:00:00,ALQUERIA,YOGURES,ALQUERIA MILO 170GR,12840,0.68,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-09-05 00:00:00,FORTIKIDS,YOGURES,KD BOL 150GX6 FR-MEL,19020,2.7,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-09-17 00:00:00,ACTIGEST,YOGURES,ACTIGEST VAS 140G PIT CCB TT,2070,0.14,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-09-17 00:00:00,ALQUERIA,YOGURES,YOGURT ALQ VASO 150G SABOR COL MELO,6210,0.45,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-09-17 00:00:00,ALQUERIA,YOGURES,ALIMENTO LACTEO KD TRULULU,2550,0.104,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-09-17 00:00:00,ALQUERIA,YOGURES,ALQUERIA M&M 100G,2550,0.1,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-09-17 00:00:00,ALQUERIA,YOGURES,ALQUERIA M&M 4 X100G,30150,1.2,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-09-17 00:00:00,ALQUERIA,YOGURES,ALIMENTO LACTEO KD TRULULU X4,10050,0.416,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-09-17 00:00:00,ALQUERIA,YOGURES,BEB YOG SIN SELLO BOTE 1000 FRESA,25740,2,VENCIDO
ANTIOQUIA,,,110300 - 098,EXITO APARTADO - 45,2026-09-17 00:00:00,ALQUERIA,YOGURES,BEB YOG SIN SELLO VASO 150G FRESA,5040,0.3,VENCIDO
ANTIOQUIA,,,110300 - 103,EXT SURTIMAX PLACITA DE FLORE-754,2026-09-15 00:00:00,ALQUERIA,YOGURES,ACTIGEST 100GX6 KD 95GX6 PACK FAM,28120,2.34,VENCIDO
ANTIOQUIA,,,110300 - 158,EXITO CAUCASIA - 265,2026-08-03 00:00:00,DEL VECCHIO,QUESOS,QDV PERA X 400 GR,195930,2.8,VENCIDO
ANTIOQUIA,,,110300 - 158,EXITO CAUCASIA - 265,2026-08-03 00:00:00,DEL VECCHIO,QUESOS,QDV MOZZARELLA BLOQUE X 250GR,63850,1.25,VENCIDO
ANTIOQUIA,,,110300 - 158,EXITO CAUCASIA - 265,2026-08-28 00:00:00,ALQUERIA,QUESOS,ALQ QUESO CON BOCADILLO 49GR X 6UN,30660,0.588,VENCIDO
ANTIOQUIA,,,110300 - 158,EXITO CAUCASIA - 265,2026-09-04 00:00:00,DEL VECCHIO,QUESOS,QDV 1923 X 250GR �?XITO,75120,1,VENCIDO
ANTIOQUIA,,,110300 - 158,EXITO CAUCASIA - 265,2026-09-15 00:00:00,ALQUERIA,QUESOS,QDV BLOQUE PERA X 400 G,127050,2,VENCIDO
ANTIOQUIA,,,110300 - 158,EXITO CAUCASIA - 265,2026-09-15 00:00:00,ALQUERIA,QUESOS,QDV PERA X 400 GR,83970,1.2,VENCIDO
ANTIOQUIA,,,110300 - 158,EXITO CAUCASIA - 265,2026-09-15 00:00:00,DEL VECCHIO,QUESOS,QDV PERA X 400 GR,83970,1.2,VENCIDO
ANTIOQUIA,,,110300 - 158,EXITO CAUCASIA - 265,2026-09-15 00:00:00,DEL VECCHIO,QUESOS,QDV MOZZARELLA BLOQUE X 250GR,12770,0.25,VENCIDO
